DV2,DV1,Productissues,BO,Advertisingassets,RDassets,Size,Profit,Liquidity,Leverage,Capitalintensity,Retainedearnings,Relativeperformance,Concentration,Salesgrowth,Salesturbulence,Industrycompetition,Industrygrowth,Industryturbulence,fyear
-5.3815231,.31301567,.23021112,-.027400339,-.24351603,-.06845291,1.5878561,.24024116,-1.1345638,-.38303766,-.45558265,.23633814,.38085708,-.55284971,.31850275,-.26682878,-.49284816,.37113485,-.33109614,2019
-4.7097211,-.07560534,.23021112,.3076213,-.24351603,-.087648697,1.5878561,.26980403,-.90318382,-.48200223,-.40861082,.23680858,-.04921259,-.55228913,.38455394,-.51307839,-.60715437,.41221637,-.43664628,2020
-.3177453,-1.1440886,-.089604594,1.7391117,1.1694679,.19936866,1.1654981,-1.1611352,-.97484523,1.9724456,1.2828413,.071369357,-.16126011,-.5000416,.79562938,-.10431464,-1.0770401,.66789073,-.26143762,2007
-1.4089823,-.21782273,-.089604594,1.01833,1.1694679,.93034941,.95481074,-1.2499112,-1.2775688,2.0964384,2.1238809,-.10293218,-.16126011,-.49733469,.26417246,-.1470581,-1.0770401,.33734334,-.27975878,2008
-1.2753292,-.092802964,-.089604594,.52587044,1.1694679,.94416165,1.0413517,.18949094,-.36091617,1.3339609,1.351548,-.052429158,-.14507496,-.49418938,-.29547203,-.57106745,-1.0770401,-.010735673,-.46150216,2009
.21877405,-.19506077,-.089604594,1.5441176,1.1694679,1.3038852,.73019773,.40415823,.42558452,.67538822,-.39991158,-.20244582,-.13170466,-.50403768,-.61675245,-.69506842,-1.0770401,-.21056069,-.51465279,2010
-.06528566,-.46052799,-.089604594,1.7391117,.82656032,1.3038852,.72915787,.4245047,-.033952396,.93058741,-.36512432,-.1715171,-.11702055,-.49652249,-.39025444,-.42794588,-1.0770401,-.069686979,-.40015587,2011
.11838133,-.0038561218,-.089604594,1.6031878,.55165774,1.3038852,.6189087,-1.174047,-.41261998,2.0121653,-.25225601,-.34449276,-.14277259,-.53108799,-.30822781,-.41758659,-1.0770401,-.018669309,-.39571556,2012
1.6102381,-.098346286,-.089604594,1.7391117,.19651555,1.3038852,.66059977,-.056499645,-.042815212,1.343408,-.78492552,-.31190348,-.09778326,-.54238629,-.47598115,-.14823087,-1.0770401,-.12300593,-.28026146,2013
-.48221928,-.26633301,-.089604594,1.1060028,.060452711,1.3038852,.5879761,-.41140014,.21456087,1.858884,-.78246564,-.4171764,.0064212321,-.51994306,-.68388015,-.068432786,-1.0770401,-.25231177,-.24605756,2014
-1.0032269,-.94602263,-.089604594,1.5701084,-.022534966,1.3038852,.48903307,-.83684599,-.02779074,1.7617452,-.90632749,-.60690695,-.022779878,-.52348578,-.92762864,-.47060117,-1.0596789,-.40391463,-.41843924,2015
-3.2895176,-.92072219,-.089604594,.91212779,.81290656,1.3038852,.52302969,-.58380038,.27616683,-.33720362,-.97603422,-.60644597,-.0081475787,-.52413017,-1.2134356,-.253003,-1.0488746,-.58167648,-.32517001,2016
-10.29379,.37343985,-.089604594,1.1061271,1.1694679,1.3038852,.55594319,.06989371,.1003396,-.31588626,-.8229627,-.554497,-.090860851,-.52107185,-1.0606644,-.22154453,-1.0664008,-.48665819,-.31168595,2017
-14.766984,1.2762674,-.089604594,1.7391117,1.1694679,1.3038852,.68599039,.31966007,.20215604,-.64732611,-.80627632,-.37460095,-.06788139,-.51036179,-.69940776,.24189143,-1.0384405,-.26196936,-.11304309,2018
-14.766984,.60706717,-.089604594,1.4918871,1.1694679,1.3038852,.8302986,.24936578,.34897703,-.92236185,-.55119115,-.2269094,-.088870823,-.4952291,-.057681657,.52310151,-1.0367672,.13716151,.0074921562,2019
-5.464932,.081709385,-.089604594,1.5803059,1.1694679,1.3038852,1.0347227,.6736871,.56860822,-.96805006,-.69090086,-.011919669,-.11764102,-.49941665,.51985204,-.56207085,-1.0163497,.49636695,-.45764595,2020
-2.4430857,.82338214,-.089604594,.41146061,-.24351603,-.040048573,.010032786,.3139827,.82029039,-.029537972,-.16690885,.15397194,-.10074242,-.40115252,.61930811,.1363477,-.57339418,.5582251,-.15828237,2007
-4.033865,1.2762674,-.089604594,-.11569486,-.24351603,.16581172,-.06117513,.11769568,.90818864,.78658074,-.070024334,.16536611,-.08384186,-.40548146,.5053246,.0084019769,-.62058842,.48733145,-.21312381,2008
-3.5996759,.72130269,-.089604594,-.52558029,-.24351603,.15661252,.0073045818,-.48466304,.94791007,.15074292,-.35569319,.13512042,-.14017557,-.37802285,-.14301355,.46238691,-.65204722,.084088095,-.018531974,2009
-4.2551928,.50466329,-.089604594,.11785033,-.24351603,.06906689,.15025115,.3889837,.58931178,-.32865068,-.22709323,.17952961,-.13383645,-.37110084,-.62374932,.94349903,-.62442088,-.21491249,.18768743,2010
-10.657369,.64458567,-.089604594,-.73400509,-.24351603,.069439925,.27507305,.49772713,.8227039,-.24384135,-.19705078,.21105441,-.14154559,-.4051834,-.29532737,1.2302278,-.53788143,-.010645696,.31058815,2011
